OPD_DATE,VEHICLE_ID,RTE,DIR,TRIP_ID,STOP_ID,STOP_NAME,SCH_STOP_TM,ACT_STOP_TM
2016-03-26,6114,674,S,30908247,431,"3RD AVE & PIKE ST (431)",14:50:57,14:48:23
2016-03-26,6114,674,S,30908139,431,"3RD AVE & PIKE ST (431)",17:02:57,16:59:12
2016-03-26,6114,674,S,30908148,431,"3RD AVE & PIKE ST (431)",19:14:57,19:19:56
2016-03-26,6114,674,S,30908156,431,"3RD AVE & PIKE ST (431)",21:14:57,21:21:15
2016-03-26,6114,674,S,30908162,431,"3RD AVE & PIKE ST (431)",22:59:58,23:01:44
2016-03-26,6114,674,S,30908165,431,"3RD AVE & PIKE ST (431)",01:07:58,01:13:22
2016-03-26,6114,674,S,30908208,431,"3RD AVE & PIKE ST (431)",03:24:58,03:35:14
2016-03-26,6115,674,S,30908175,431,"3RD AVE & PIKE ST (431)",05:59:58,05:58:33
2016-03-26,6115,674,S,30908104,431,"3RD AVE & PIKE ST (431)",07:59:58,07:58:41
2016-03-26,6115,674,S,30908237,431,"3RD AVE & PIKE ST (431)",09:50:57,09:49:44
2016-03-26,6115,674,S,30908120,431,"3RD AVE & PIKE ST (431)",12:02:57,12:07:53
2016-03-26,6115,674,S,30908129,431,"3RD AVE & PIKE ST (431)",14:14:57,14:17:39
2016-03-26,6115,674,S,30908137,431,"3RD AVE & PIKE ST (431)",16:26:57,16:25:32
2016-03-26,6115,674,S,30908146,431,"3RD AVE & PIKE ST (431)",18:34:57,18:38:54
2016-03-26,6115,674,S,30908153,431,"3RD AVE & PIKE ST (431)",20:29:57,20:32:25
2016-03-26,6115,674,S,30908160,431,"3RD AVE & PIKE ST (431)",22:14:57,22:16:21
2016-03-26,6115,674,S,30908163,431,"3RD AVE & PIKE ST (431)",23:59:58,00:02:35
2016-03-26,6115,674,S,30908204,431,"3RD AVE & PIKE ST (431)",02:09:58,02:17:01
2016-03-26,6115,674,S,30908211,431,"3RD AVE & PIKE ST (431)",04:27:58,04:32:22
2016-03-26,6204,674,S,30908188,431,"3RD AVE & PIKE ST (431)",06:59:58,06:59:07
2016-03-26,6204,674,S,30908108,431,"3RD AVE & PIKE ST (431)",09:02:57,09:03:57
2016-03-26,6204,674,S,30908239,431,"3RD AVE & PIKE ST (431)",10:50:57,10:52:00
2016-03-26,6204,674,S,30908124,431,"3RD AVE & PIKE ST (431)",13:02:57,13:12:26
2016-03-26,6204,674,S,30908181,431,"3RD AVE & PIKE ST (431)",15:14:57,15:13:18
2016-03-26,6204,674,S,30908141,431,"3RD AVE & PIKE ST (431)",17:26:57,17:27:58
2016-03-26,6204,674,S,30908149,431,"3RD AVE & PIKE ST (431)",19:29:57,19:34:57
2016-03-26,6204,674,S,30908157,431,"3RD AVE & PIKE ST (431)",21:29:57,21:35:56
2016-03-26,6204,674,S,30908257,431,"3RD AVE & PIKE ST (431)",23:14:58,23:22:39
2016-03-26,6207,674,S,30908116,431,"3RD AVE & PIKE ST (431)",11:02:57,11:07:57
2016-03-26,6207,674,S,30908125,431,"3RD AVE & PIKE ST (431)",13:14:57,13:18:44
2016-03-26,6207,674,S,30908133,431,"3RD AVE & PIKE ST (431)",15:26:57,15:29:36
2016-03-26,6207,674,S,30908142,431,"3RD AVE & PIKE ST (431)",17:38:57,17:37:11
2016-03-26,6207,674,S,30908150,431,"3RD AVE & PIKE ST (431)",19:44:57,19:45:46
2016-03-26,6207,674,S,30908158,431,"3RD AVE & PIKE ST (431)",21:44:57,21:47:05
2016-03-26,6207,674,S,30908193,431,"3RD AVE & PIKE ST (431)",23:29:58,23:33:20
